source,reservoir_id,reservoir_name,basin,rise_item_ids,latitude,longitude,elevation_ft,county,start_date,end_date,notes
dwr_cdss,0203358B,WALKER RESERVOIR,2,,40.007178,-104.829982,,Weld,2022-07-01,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,0803405C,MAIN RESERVOIR,8,,39.693991,-105.117809,,Jefferson,2022-07-29,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,0803406B,EAST RESERVOIR,8,,39.692196,-105.110808,,Jefferson,2022-07-29,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,0803407B,SMITH RESERVOIR,8,,39.684982,-105.116044,,Jefferson,2022-07-29,2026-06-19,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,1403593A,STONEWALL SPRINGS SOUTH RESERVOIR,14,,38.260386,-104.411074,,Pueblo,2023-07-27,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,2003539A,FUCHS RES,20,,37.467684,-106.521967,,Rio Grande,2025-11-03,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,4003399B,OVERLAND RESERVOIR,40,,39.08861,-107.642686,,Delta,2025-10-06,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,4103652A,GARNET MESA RESERVOIR,41,,38.713231,-108.040248,,Delta,2025-08-20,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,70RRESCO,70 RANCH RESERVOIR,1,,40.340182,-104.423309,,Weld,2019-07-29,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,ADORESCO,ADOBE RESERVOIR,17,,38.26262,-103.240013,,Bent,2006-05-12,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,ALSRESCO,ALSBURY RESERVOIR,45,,39.332774,-107.483256,,Mesa,2000-01-07,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,BASRESCO,RIDGES BASIN DAM ON LAKE NIGHTHORSE NEAR DURANGO,30,,37.219483,-107.895607,,La Plata,2018-09-24,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,BCRRESCO,BEAR CREEK RESERVOIR,9,,39.653689,-105.140843,,Jefferson,1988-01-21,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,BERRESCO,BEERS SISTERS RESERVOIR AT BLUE HERON PARK,9,,39.615596,-105.121986,,Jefferson,2018-12-12,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,BEVRESCO,BEAVER RESERVOIR,20,,37.596165,-106.666427,,Rio Grande,1992-04-08,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,BKIRESCO,BUCKEYE RESERVOIR,61,,38.436699,-109.044426,,Montrose,2007-10-24,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,BLKRESCO,BOSS LAKE RESERVOIR,11,,38.559361,-106.319655,,Chaffee,2012-04-07,2026-06-22,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,BLMRESCO,BLUE MESA RESERVOIR,59,,38.454669,-107.333893,,Gunnison,1986-07-17,2026-05-19,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,BLURESCO,UPPER BLUE RESERVOIR NEAR BRECKENRIDGE,36,,39.385729,-106.100872,,Summit,1989-08-22,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,BRERESCO,BRETT GRAY RESERVOIR AT SMITH RANCH NEAR RUSH,17,,38.737452,-103.911219,,Lincoln,1999-05-25,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,BRKDAMCO,BUTTONROCK (RALPH PRICE) RESERVOIR,5,,40.219387,-105.368966,,Boulder,2013-08-22,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,BVRWP2CO,BRUSH HOLLOW RESERVOIR,12,,38.457652,-105.051529,,Fremont,2014-04-14,2022-07-25,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,CARTERCO,CARTER RESERVOIR,4,,40.324217,-105.211888,,Larimer,2012-02-15,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,CASRESCO,CASCADE RESERVOIR,30,,37.54502,-107.804819,,La Plata,2000-01-17,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,CHARESCO,Chatfield Reservoir,South Platte,,39.557148,-105.062949,,Jefferson,1986-09-09,2026-06-23,confirmed CDSS abbrev
dwr_cdss,CHERESCO,Cheesman Reservoir,South Platte,,39.208562,-105.272327,,Jefferson,1986-07-11,2026-06-23,confirmed CDSS abbrev
dwr_cdss,CHRRESCO,CHERRY CREEK RESERVOIR,8,,39.650583,-104.854311,,Arapahoe,1988-06-09,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,CLRRESCO,CLEAR CREEK RESERVOIR,11,,39.021549,-106.245417,,Chaffee,1992-03-05,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,CONRESCO,CONTINENTAL RESERVOIR NEAR CREEDE,20,,37.886606,-107.206389,,Hinsdale,1989-04-10,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,COTRESCO,COTTONWOOD LAKE RESERVOIR,11,,38.781471,-106.277678,,Chaffee,2012-04-07,2026-06-22,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,CTWRESCO,COTTONWOOD LAKE,8,,39.679577,-105.115056,,Jefferson,2020-04-06,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,DEWRESCO,DEWEESE RESERVOIR,13,,38.209568,-105.449003,,Custer,2012-04-07,2026-06-22,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,DILRESCO,Dillon Reservoir,Blue,,39.618306,-106.065579,,Summit,1987-06-01,2026-06-23,confirmed CDSS abbrev
dwr_cdss,DORYLKCO,DORY LAKE,7,,39.848158,-105.473507,,Gilpin,2018-11-16,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,DOURESCO,DOUGLAS RESERVOIR AT SMITH RANCH NEAR RUSH,17,,38.715,-103.887751,,Lincoln,1999-05-27,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,DOZRESCO,DOZIER RESERVOIR #2,80,,39.478984,-105.485633,,Park,2019-07-03,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,FILLAKCO,FILLY LAKE,6,,40.09634,-105.035463,,Weld,2025-01-31,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,FLARESCO,FLATIRON RESERVOIR,4,,40.364821,-105.235807,,Larimer,2012-02-21,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,FVRES2CO,FOUNTAIN VALLEY RES NO 2 (BIG JOHNSON RES),10,,38.747921,-104.698038,,El Paso,2021-10-13,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,GEOLAKCO,"GEORGETOWN LAKE NEAR GEORGETOWN, CO",7,,39.733055,-105.68918,,Clear Creek,2015-01-27,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,GRARESCO,GRANBY RESERVOIR,51,,40.148785,-105.867451,,Grand,1986-06-26,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,GRERESCO,Green Mountain Reservoir,Colorado,,39.878325,-106.329759,,Summit,1986-02-21,2026-06-23,confirmed CDSS abbrev (telemetry STORAGE)
