source,site_id,site_name,basin,usgs_site_no,notes
usgs_nwis,09058000,"COLORADO RIVER NEAR KREMMLING, CO",Colorado,09058000,USGS stream gage
usgs_nwis,09070500,"COLORADO RIVER NEAR DOTSERO, CO",Colorado,09070500,USGS stream gage
usgs_nwis,09095500,"COLORADO RIVER NEAR CAMEO, CO.",Colorado,09095500,USGS stream gage
usgs_nwis,09163500,COLORADO RIVER NEAR COLORADO-UTAH STATE LINE,Colorado,09163500,USGS stream gage
usgs_nwis,09057500,"BLUE RIVER BELOW GREEN MOUNTAIN RESERVOIR, CO",Colorado,09057500,USGS stream gage
usgs_nwis,09070000,"EAGLE RIVER BELOW GYPSUM, CO.",Colorado,09070000,USGS stream gage
usgs_nwis,09085000,"ROARING FORK RIVER AT GLENWOOD SPRINGS, CO.",Colorado,09085000,USGS stream gage
usgs_nwis,09114500,"GUNNISON RIVER NEAR GUNNISON, CO.",Gunnison,09114500,USGS stream gage
usgs_nwis,09128000,"GUNNISON RIVER BELOW GUNNISON TUNNEL, CO",Gunnison,09128000,USGS stream gage
usgs_nwis,09152500,"GUNNISON RIVER NEAR GRAND JUNCTION, CO.",Gunnison,09152500,USGS stream gage
usgs_nwis,09147500,"UNCOMPAHGRE RIVER AT COLONA, CO",Gunnison,09147500,USGS stream gage
usgs_nwis,09165000,"DOLORES RIVER BELOW RICO, CO.",Dolores-San Miguel,09165000,USGS stream gage
usgs_nwis,09169500,"DOLORES RIVER AT BEDROCK, CO",Dolores-San Miguel,09169500,USGS stream gage
usgs_nwis,09172500,"SAN MIGUEL RIVER NEAR PLACERVILLE, CO",Dolores-San Miguel,09172500,USGS stream gage
usgs_nwis,09342500,"SAN JUAN RIVER AT PAGOSA SPRINGS, CO",San Juan,09342500,USGS stream gage
usgs_nwis,09361500,"ANIMAS RIVER AT DURANGO, CO",San Juan,09361500,USGS stream gage
usgs_nwis,09304500,"WHITE RIVER NEAR MEEKER, CO.",White,09304500,USGS stream gage
usgs_nwis,09239500,"YAMPA RIVER AT STEAMBOAT SPRINGS, CO",Yampa-Green,09239500,USGS stream gage
usgs_nwis,09251000,"YAMPA RIVER NEAR MAYBELL, CO",Yampa-Green,09251000,USGS stream gage
usgs_nwis,09260000,"LITTLE SNAKE RIVER NEAR LILY, CO",Yampa-Green,09260000,USGS stream gage
usgs_nwis,08220000,"RIO GRANDE NEAR DEL NORTE, CO",Rio Grande,08220000,USGS stream gage
usgs_nwis,08251500,"RIO GRANDE NEAR LOBATOS, CO",Rio Grande,08251500,USGS stream gage
usgs_nwis,08246500,"CONEJOS RIVER NEAR MOGOTE, CO.",Rio Grande,08246500,USGS stream gage
usgs_nwis,06714000,"SOUTH PLATTE RIVER AT DENVER, CO.",South Platte,06714000,USGS stream gage
usgs_nwis,06754000,"SOUTH PLATTE RIVER NEAR KERSEY, CO",South Platte,06754000,USGS stream gage
usgs_nwis,06764000,"SOUTH PLATTE RIVER AT JULESBURG, CO",South Platte,06764000,USGS stream gage
